concept,db,table,item_id,label,unit,category,extra,status
hr,mimic,chartevents,227858,Rest HR - Aerobic Capacity,,OT Notes,,unmapped_candidate
hr,mimic,chartevents,227864,Activity HR - Aerobic Capacity,,OT Notes,,unmapped_candidate
hr,mimic,chartevents,227870,Recovery HR - Aerobic Capacity,,OT Notes,,unmapped_candidate
hr,mimic,chartevents,223764,Orthostatic HR lying,bpm,Routine Vital Signs,,unmapped_candidate
hr,mimic,chartevents,223765,Orthostatic HR sitting,bpm,Routine Vital Signs,,unmapped_candidate
hr,mimic,labevents,51066,24 hr Calcium,,Chemistry,Urine,unmapped_candidate
hr,mimic,labevents,51067,24 hr Creatinine,,Chemistry,Urine,unmapped_candidate
hr,mimic,labevents,51068,24 hr Protein,,Chemistry,Urine,unmapped_candidate
hr,miiv,chartevents,223764,Orthostatic HR lying,bpm,Routine Vital Signs,,unmapped_candidate
hr,miiv,chartevents,223765,Orthostatic HR sitting,bpm,Routine Vital Signs,,unmapped_candidate
hr,miiv,chartevents,224366,Epidural Infusion Rate (mL/hr),ml/hr,Pain/Sedation,,unmapped_candidate
hr,miiv,chartevents,224647,Orthostatic HR standing,bpm,Routine Vital Signs,,unmapped_candidate
hr,miiv,chartevents,224721,HR > 140,,Respiratory,,unmapped_candidate
hr,miiv,chartevents,227858,Rest HR - Aerobic Capacity,None,OT Notes,,unmapped_candidate
hr,miiv,chartevents,227864,Activity HR - Aerobic Capacity,None,OT Notes,,unmapped_candidate
hr,miiv,chartevents,227870,Recovery HR - Aerobic Capacity,None,OT Notes,,unmapped_candidate
hr,miiv,chartevents,227916,Rest HR -  Aerobic Activity Response,None,OT Notes,,unmapped_candidate
hr,miiv,chartevents,227923,Activity HR - Aerobic Activity Response,None,OT Notes,,unmapped_candidate
hr,miiv,chartevents,227930,Recovery HR - Aerobic Activity Response,None,OT Notes,,unmapped_candidate
hr,miiv,chartevents,230037,HR per min,,RDOS,,unmapped_candidate
hr,miiv,chartevents,230051,PNC-1 Infusion Rate (mL/hr),ml/hr,Pain/Sedation,,unmapped_candidate
hr,miiv,chartevents,230058,PNC-2 Infusion Rate (mL/hr),ml/hr,Pain/Sedation,,unmapped_candidate
hr,miiv,chartevents,230152,CFS-HR,,Neurological,,unmapped_candidate
hr,miiv,labevents,51066,24 hr Calcium,,Chemistry,Urine,unmapped_candidate
hr,miiv,labevents,51067,24 hr Creatinine,,Chemistry,Urine,unmapped_candidate
hr,miiv,labevents,51068,24 hr Protein,,Chemistry,Urine,unmapped_candidate
hr,miiv,labevents,51829,72 Hr Fat,,Chemistry,Other Body Fluid,unmapped_candidate
hr,miiv,labevents,51925,72 Hr Fat,,Chemistry,Stool,unmapped_candidate
hr,miiv,labevents,52068,24 Hr,,Hematology,Blood,unmapped_candidate
hr,eicu,respiratorycharting,HR Post,HR Post,,,,unmapped_candidate
hr,eicu,respiratorycharting,HR,HR,,,,unmapped_candidate
hr,eicu,nursecharting,Heart Rate,Heart Rate,,,,unmapped_candidate
hr,eicu,intakeoutput,8 Hr Total Fluid Removed ,8 Hr Total Fluid Removed ,,,,unmapped_candidate
hr,eicu,intakeoutput,Citrate ml/hr,Citrate ml/hr,,,,unmapped_candidate
hr,eicu,intakeoutput,24 HR TOTAL INTAKE  0700-0659	Yes,24 HR TOTAL INTAKE  0700-0659	Yes,,,,unmapped_candidate
hr,eicu,intakeoutput,24 HR TOTAL INTAKE  0700-0659,24 HR TOTAL INTAKE  0700-0659,,,,unmapped_candidate
hr,eicu,intakeoutput,24 HR TOTAL OUTPUT  0700-0659,24 HR TOTAL OUTPUT  0700-0659,,,,unmapped_candidate
hr,eicu,intakeoutput,24 HR TOTAL OUTPUT  0700-0659	Yes,24 HR TOTAL OUTPUT  0700-0659	Yes,,,,unmapped_candidate
hr,eicu,intakeoutput,Enteral pivot 1.5 @ 25ml/hr,Enteral pivot 1.5 @ 25ml/hr,,,,unmapped_candidate
hr,eicu,intakeoutput,nafcillin 500mg/hr,nafcillin 500mg/hr,,,,unmapped_candidate
lact,aumc,drugitems,7316,Ri-Lac (Ringers lactaat),,,,unmapped_candidate
lact,aumc,numericitems,10304,Lactaat (overig),mmol/l,,,unmapped_candidate
lact,aumc,numericitems,10390,Lactaat (liquor),mmol/l,,,unmapped_candidate
lact,mimic,chartevents,1634,lactated ringers,,,,unmapped_candidate
lact,mimic,chartevents,2638,CEREBRAL LACTATE,,,,unmapped_candidate
lact,mimic,chartevents,2773,sjlactate,,,,unmapped_candidate
lact,mimic,inputevents_cv,30021,Lactated Ringers,,,,unmapped_candidate
lact,mimic,inputevents_cv,44370,INAMRINONE LACTATE,,Free Form Intake,,unmapped_candidate
lact,mimic,inputevents_cv,45532,IR Lactated ringers,,Free Form Intake,,unmapped_candidate
lact,mimic,inputevents_mv,220955,Ringers Lactate,mL,Fluids - Other (Not In Use),,unmapped_candidate
lact,mimic,inputevents_mv,220967,Dextrose 5% / Ringers Lactate,mL,Fluids - Other (Not In Use),,unmapped_candidate
lact,mimic,inputevents_mv,220968,Dextrose 10% / Ringers Lactate,mL,Fluids - Other (Not In Use),,unmapped_candidate
lact,mimic,inputevents_mv,220980,Hextend (Hetastarch 6% in Lactate),mL,Fluids - Other (Not In Use),,unmapped_candidate
lact,mimic,labevents,50843,"Lactate Dehydrogenase, Ascites",,Chemistry,Ascites,unmapped_candidate
lact,mimic,labevents,50954,Lactate Dehydrogenase (LD),,Chemistry,Blood,unmapped_candidate
lact,mimic,labevents,51015,"Lactate Dehydrogenase, CSF",,Chemistry,Cerebrospinal Fluid (CSF),unmapped_candidate
lact,mimic,labevents,51054,"Lactate Dehydrogenase, Pleural",,Chemistry,Pleural,unmapped_candidate
lact,miiv,ingredientevents,220948,Lactate (ingr),mg,Ingredients - general (Not In Use),,unmapped_candidate
lact,miiv,inputevents,220955,Ringers Lactate,mL,Fluids - Other (Not In Use),,unmapped_candidate
lact,miiv,inputevents,220967,Dextrose 5% / Ringers Lactate,mL,Fluids - Other (Not In Use),,unmapped_candidate
lact,miiv,inputevents,220968,Dextrose 10% / Ringers Lactate,mL,Fluids - Other (Not In Use),,unmapped_candidate
lact,miiv,inputevents,220980,Hextend (Hetastarch 6% in Lactate),mL,Fluids - Other (Not In Use),,unmapped_candidate
lact,miiv,labevents,50843,"Lactate Dehydrogenase, Ascites",,Chemistry,Ascites,unmapped_candidate
lact,miiv,labevents,50954,Lactate Dehydrogenase (LD),,Chemistry,Blood,unmapped_candidate
lact,miiv,labevents,51054,"Lactate Dehydrogenase, Pleural",,Chemistry,Pleural,unmapped_candidate
lact,miiv,labevents,51795,"Lactate Dehydrogenase, CSF",,Chemistry,Cerebrospinal Fluid,unmapped_candidate
lact,miiv,labevents,51944,"Lactate Dehydrogenase, Stool",,Chemistry,Stool,unmapped_candidate
lact,eicu,intakeoutput,Volume (mL)-lactated ringers infusion,Volume (mL)-lactated ringers infusion,,,,unmapped_candidate
lact,eicu,intakeoutput,Volume (mL)-lactated ringers bolus 500 mL,Volume (mL)-lactated ringers bolus 500 mL,,,,unmapped_candidate
lact,eicu,intakeoutput,"Volume (mL)-lactated ringers bolus 1,000 mL","Volume (mL)-lactated ringers bolus 1,000 mL",,,,unmapped_candidate
lact,eicu,intakeoutput,Volume (mL)-dextrose 5 % / lactated ringers infusion,Volume (mL)-dextrose 5 % / lactated ringers infusion,,,,unmapped_candidate
lact,eicu,intakeoutput,"Volume (mL)-lactated ringers 1,000 mL with potassium chloride 20 mEq infusion","Volume (mL)-lactated ringers 1,000 mL with potassium chloride 20 mEq infusion",,,,unmapped_candidate
lact,eicu,intakeoutput,"Volume (mL)-lactated ringers infusion 1,000 mL","Volume (mL)-lactated ringers infusion 1,000 mL",,,,unmapped_candidate
lact,eicu,intakeoutput,Volume (mL)-dextrose 5 % in lactated ringers infusion,Volume (mL)-dextrose 5 % in lactated ringers infusion,,,,unmapped_candidate
lact,eicu,intakeoutput,Volume (mL)-lactated ringers infusion 500 mL,Volume (mL)-lactated ringers infusion 500 mL,,,,unmapped_candidate
lact,eicu,intakeoutput,"Volume (mL)-lactated ringers 1,000 mL with thiamine 100 mg, folic acid 1 mg, magnesium sulfate 2 g infusion","Volume (mL)-lactated ringers 1,000 mL with thiamine 100 mg, folic acid 1 mg, magnesium sulfate 2 g infusion",,,,unmapped_candidate
lact,eicu,intakeoutput,Lactated Ringers Volume,Lactated Ringers Volume,,,,unmapped_candidate
map,mimic,chartevents,1199,HFO MAP,,,,unmapped_candidate
map,mimic,chartevents,438,MAP,,,,unmapped_candidate
map,mimic,chartevents,1321,map,,,,unmapped_candidate
map,mimic,chartevents,672,TCPCV-MAP,,,,unmapped_candidate
map,mimic,chartevents,3067,FEM MAP,,,,unmapped_candidate
map,mimic,chartevents,5680,RADIAL MAP,,,,unmapped_candidate
map,mimic,chartevents,5804,sheath MAP,,,,unmapped_candidate
map,mimic,chartevents,2309,FEM ALINE MAP,,,,unmapped_candidate
map,mimic,chartevents,2353,R FEM MAP,,,,unmapped_candidate
map,mimic,chartevents,2369,fem map,,,,unmapped_candidate
map,mimic,chartevents,2522,HFO-MAP,,,,unmapped_candidate
map,mimic,chartevents,2544,FEM ART MAP,,,,unmapped_candidate
map,mimic,chartevents,2770,left radial MAP,,,,unmapped_candidate
map,mimic,chartevents,2974,FEM LINE MAP,,,,unmapped_candidate
map,mimic,chartevents,6399,ART MAP,,,,unmapped_candidate
map,mimic,chartevents,6579,IR Sheath MAP,,,,unmapped_candidate
map,mimic,chartevents,6605,Fem sheath MAP,,,,unmapped_candidate
mean_airway_pres,mimic,chartevents,1209,HFO mean airway Pres,,,,unmapped_candidate
mean_airway_pres,mimic,chartevents,1864,HFO-Max mean airway,,,,unmapped_candidate
mean_airway_pres,mimic,chartevents,1865,HFO-Min mean airway,,,,unmapped_candidate
mean_airway_pres,mimic,chartevents,1672,MEAN AIRWAY PRESS,,,,unmapped_candidate
minute_vol,aumc,numericitems,8870,VE,l/min,,,unmapped_candidate
minute_vol,aumc,numericitems,9619,Mv Lekkage,l/min,,,unmapped_candidate
minute_vol,aumc,numericitems,9663,Mv Spontaan(2),l/min,,,unmapped_candidate
minute_vol,aumc,numericitems,9668,VE(2),l/min,,,unmapped_candidate
minute_vol,mimic,chartevents,448,Minute Volume,,,,unmapped_candidate
minute_vol,mimic,chartevents,449,Minute Volume (Set),,,,unmapped_candidate
minute_vol,mimic,chartevents,450,Minute Volume(Obser),,,,unmapped_candidate
minute_vol,mimic,chartevents,5563,HIGH MINUTE VOLUMER,,,,unmapped_candidate
minute_vol,mimic,chartevents,5585,MINUTE VOL. HIGH,,,,unmapped_candidate
minute_vol,mimic,chartevents,1340,high minute volume,,,,unmapped_candidate
minute_vol,mimic,chartevents,1383,high minute vol.,,,,unmapped_candidate
minute_vol,mimic,chartevents,650,Spon Minute VE L/min,,,,unmapped_candidate
minute_vol,mimic,chartevents,3063,High MV Limits,,,,unmapped_candidate
minute_vol,mimic,chartevents,3098,hi mv,,,,unmapped_candidate
minute_vol,mimic,chartevents,3100,LOW MV,,,,unmapped_candidate
minute_vol,mimic,chartevents,3101,High Minute volume,,,,unmapped_candidate
minute_vol,mimic,chartevents,3119,HI MINUTE VOL,,,,unmapped_candidate
minute_vol,mimic,chartevents,3160,HIGH MV LIMIT,,,,unmapped_candidate
minute_vol,mimic,chartevents,3161,Hi Minute Volume,,,,unmapped_candidate
minute_vol,mimic,chartevents,3190,high  minute vol,,,,unmapped_candidate
minute_vol,mimic,chartevents,3200,High Minute Volume m,,,,unmapped_candidate
minute_vol,mimic,chartevents,3236,HI MINUTE VOLUME,,,,unmapped_candidate
minute_vol,mimic,chartevents,3254,High minute Vent.,,,,unmapped_candidate
minute_vol,mimic,chartevents,3259,mv,,,,unmapped_candidate
minute_vol,mimic,chartevents,1705,Vent Sens Thresh mV,,,,unmapped_candidate
minute_vol,mimic,chartevents,1706,Ventricular Pacemaker Sense [mV],,,,unmapped_candidate
minute_vol,mimic,chartevents,1718,High Minute Vent.,,,,unmapped_candidate
minute_vol,mimic,chartevents,1720,high exhale MV,,,,unmapped_candidate
minute_vol,mimic,chartevents,1723,HIGH EXHALE MV,,,,unmapped_candidate
minute_vol,mimic,chartevents,1724,High exhaled MV,,,,unmapped_candidate
minute_vol,mimic,chartevents,1746,hi MV,,,,unmapped_candidate
minute_vol,mimic,chartevents,1883,Spont Minute vols,,,,unmapped_candidate
minute_vol,mimic,chartevents,1990,High minute vent.,,,,unmapped_candidate
minute_vol,mimic,chartevents,2012,lo MV,,,,unmapped_candidate
minute_vol,mimic,chartevents,6041,hi Ve,,,,unmapped_candidate
minute_vol,mimic,chartevents,6065,High minute Volume,,,,unmapped_candidate
minute_vol,mimic,chartevents,6073,MV HI,,,,unmapped_candidate
minute_vol,mimic,chartevents,6078,MV,,,,unmapped_candidate
minute_vol,mimic,chartevents,5651,High Ve,,,,unmapped_candidate
minute_vol,mimic,chartevents,5675,High Mv.,,,,unmapped_candidate
minute_vol,mimic,chartevents,5726,Hi Ve,,,,unmapped_candidate
minute_vol,mimic,chartevents,5727,Hi MV,,,,unmapped_candidate
minute_vol,mimic,chartevents,5758,MV hi,,,,unmapped_candidate
minute_vol,mimic,chartevents,5766,High mv,,,,unmapped_candidate
minute_vol,mimic,chartevents,5778,low mv,,,,unmapped_candidate
minute_vol,mimic,chartevents,5779,high    mv,,,,unmapped_candidate
minute_vol,mimic,chartevents,5782,High Minute Ventilan,,,,unmapped_candidate
minute_vol,mimic,chartevents,5801,high ve            n,,,,unmapped_candidate
minute_vol,mimic,chartevents,5847,MV Hi,,,,unmapped_candidate
minute_vol,mimic,chartevents,5902,yi MV,,,,unmapped_candidate
minute_vol,mimic,chartevents,1486,High Minute Volume,,,,unmapped_candidate
minute_vol,mimic,chartevents,1507,HIGH MINUTE VOL,,,,unmapped_candidate
minute_vol,mimic,chartevents,1510,high Ve,,,,unmapped_candidate
minute_vol,mimic,chartevents,1546,high ve,,,,unmapped_candidate
minute_vol,mimic,chartevents,1551,high MV,,,,unmapped_candidate
minute_vol,mimic,chartevents,1562,High Minute Ventil.,,,,unmapped_candidate
minute_vol,mimic,chartevents,1565,High MV Limit,,,,unmapped_candidate
minute_vol,mimic,chartevents,1575,HIGH MINUTE VOL.,,,,unmapped_candidate
minute_vol,mimic,chartevents,1577,high minute vent,,,,unmapped_candidate
minute_vol,mimic,chartevents,1596,HIGH MV,,,,unmapped_candidate
minute_vol,mimic,chartevents,1599,HIGH MINUTE VENT.,,,,unmapped_candidate
minute_vol,mimic,chartevents,1600,HIGH MINUTE VOLUME,,,,unmapped_candidate
minute_vol,mimic,chartevents,1616,High MV.,,,,unmapped_candidate
minute_vol,mimic,chartevents,1639,High MV,,,,unmapped_candidate
minute_vol,mimic,chartevents,1650,high mv,,,,unmapped_candidate
minute_vol,mimic,chartevents,1654,HIGH VE,,,,unmapped_candidate
minute_vol,mimic,chartevents,1681,high MV.,,,,unmapped_candidate
minute_vol,mimic,chartevents,1683,Low minute volume,,,,unmapped_candidate
minute_vol,mimic,chartevents,1685,HI MV,,,,unmapped_candidate
minute_vol,mimic,chartevents,1687,high minute vol,,,,unmapped_candidate
minute_vol,mimic,chartevents,1694,HI VE,,,,unmapped_candidate
minute_vol,mimic,chartevents,1695,Atr Sens Thresh mV,,,,unmapped_candidate
minute_vol,mimic,chartevents,1697,Atrial Pacemaker Sense [mV],,,,unmapped_candidate
minute_vol,mimic,chartevents,2033,High VE,,,,unmapped_candidate
minute_vol,mimic,chartevents,2046,hi minute vol,,,,unmapped_candidate
minute_vol,mimic,chartevents,2050,Low MV,,,,unmapped_candidate
minute_vol,mimic,chartevents,2053,high VE,,,,unmapped_candidate
minute_vol,mimic,chartevents,2058,Hi VE,,,,unmapped_candidate
minute_vol,mimic,chartevents,2076,HI(GH MV,,,,unmapped_candidate
minute_vol,mimic,chartevents,2103,High minute volume,,,,unmapped_candidate
minute_vol,mimic,chartevents,2105,hi minute volume,,,,unmapped_candidate
minute_vol,mimic,chartevents,2123,High exhale MV,,,,unmapped_candidate
minute_vol,mimic,chartevents,2127,high exhale mv,,,,unmapped_candidate
minute_vol,mimic,chartevents,2973,High Mv,,,,unmapped_candidate
minute_vol,mimic,chartevents,6096,MV-HI,,,,unmapped_candidate
minute_vol,mimic,chartevents,6168,hi VE,,,,unmapped_candidate
minute_vol,mimic,chartevents,6208,Ve High,,,,unmapped_candidate
minute_vol,mimic,chartevents,3046,HIGH MINUTE VENT.  N,,,,unmapped_candidate
minute_vol,mimic,chartevents,3049,spont Ve,,,,unmapped_candidate
minute_vol,mimic,chartevents,6873,low MV,,,,unmapped_candidate
minute_vol,mimic,chartevents,6932,exh. ve,,,,unmapped_candidate
minute_vol,mimic,chartevents,6934,inhaled ve,,,,unmapped_candidate
minute_vol,mimic,chartevents,223958,Temporary Venticular Sens Threshold mV,mV,Cardiovascular (Pacer Data),,unmapped_candidate
minute_vol,mimic,chartevents,224687,Minute Volume,L/min,Respiratory,,unmapped_candidate
minute_vol,mimic,chartevents,224752,Temporary Atrial Sens Threshold mV,mV,Cardiovascular (Pacer Data),,unmapped_candidate
minute_vol,mimic,chartevents,224753,Temporary Atrial Sens Setting mV,mV,Cardiovascular (Pacer Data),,unmapped_candidate
minute_vol,mimic,chartevents,224837,Temporary Ventricular Sens Setting mV,mV,Cardiovascular (Pacer Data),,unmapped_candidate
minute_vol,miiv,chartevents,223958,Temporary Venticular Sens Threshold mV,mV,Cardiovascular (Pacer Data),,unmapped_candidate
minute_vol,miiv,chartevents,224752,Temporary Atrial Sens Threshold mV,mV,Cardiovascular (Pacer Data),,unmapped_candidate
minute_vol,miiv,chartevents,224753,Temporary Atrial Sens Setting mV,mV,Cardiovascular (Pacer Data),,unmapped_candidate
minute_vol,miiv,chartevents,224837,Temporary Ventricular Sens Setting mV,mV,Cardiovascular (Pacer Data),,unmapped_candidate
minute_vol,miiv,chartevents,229659,% Minute Volume,None,Respiratory,,unmapped_candidate
minute_vol,eicu,respiratorycharting,"Minute Volume, Spontaneous","Minute Volume, Spontaneous",,,,unmapped_candidate
minute_vol,eicu,respiratorycharting,Minute Volume Leak,Minute Volume Leak,,,,unmapped_candidate
minute_vol,eicu,respiratorycharting,Minute Ventilation Set(L/min),Minute Ventilation Set(L/min),,,,unmapped_candidate
o2sat,aumc,numericitems,11425,O2sat (overig),Geen,,,unmapped_candidate
o2sat,aumc,numericitems,19611,Streef SpO2,None,,,unmapped_candidate
o2sat,aumc,numericitems,20658,ECMO - Veneuze saturatie,Geen,,,unmapped_candidate
o2sat,mimic,chartevents,3545,O2 Sat W/Seizure,,,,unmapped_candidate
o2sat,mimic,chartevents,5501,O2 sat probe change,,,,unmapped_candidate
o2sat,mimic,chartevents,5505,O2 sat probe site,,,,unmapped_candidate
o2sat,mimic,chartevents,3288,O2 sat [Pre],,,,unmapped_candidate
o2sat,mimic,chartevents,5636,2nd O2 Sat,,,,unmapped_candidate
o2sat,mimic,chartevents,5896,VEN0US O2 SAT,,,,unmapped_candidate
o2sat,mimic,chartevents,2842,JV O2 Sat,,,,unmapped_candidate
o2sat,mimic,chartevents,8208,Postductal O2 Sat,,,,unmapped_candidate
o2sat,mimic,chartevents,8209,Preductal O2 Sat,,,,unmapped_candidate
o2sat,mimic,chartevents,7440,walking o2 sat,,,,unmapped_candidate
o2sat,mimic,chartevents,8498,O2 sat [Post],,,,unmapped_candidate
o2sat,mimic,chartevents,6719,SpO2-L,,,,unmapped_candidate
o2sat,mimic,chartevents,226860,RA %O2 Saturation (PA Line),%,PA Line Insertion,,unmapped_candidate
o2sat,mimic,chartevents,226861,ART %O2 saturation (PA Line),%,PA Line Insertion,,unmapped_candidate
o2sat,mimic,chartevents,226862,PA %O2 Saturation (PA Line),%,PA Line Insertion,,unmapped_candidate
o2sat,mimic,chartevents,226863,PVR %O2 Saturation (PA Line),dynes*sec/cm5,PA Line Insertion,,unmapped_candidate
o2sat,mimic,chartevents,226865,SVR %O2 Saturation (PA Line),dynes*sec/cm5,PA Line Insertion,,unmapped_candidate
o2sat,mimic,chartevents,227919,Rest O2 Sat - Aerobic Activity Response,%,OT Notes,,unmapped_candidate
o2sat,mimic,chartevents,227926,Activity O2 sat - Aerobic Activity Response,%,OT Notes,,unmapped_candidate
o2sat,mimic,chartevents,227873,Recovery O2 Sat - Aerobic Capacity,%,OT Notes,,unmapped_candidate
o2sat,mimic,chartevents,228232,PAR-Oxygen saturation,,Routine Vital Signs,,unmapped_candidate
o2sat,mimic,chartevents,220227,Arterial O2 Saturation,%,Labs,,unmapped_candidate
o2sat,mimic,chartevents,227933,Recovery O2 sat - Aerobic Activity Response,%,OT Notes,,unmapped_candidate
o2sat,mimic,chartevents,227861,Rest O2 Sat - Aerobic Capacity,%,OT Notes,,unmapped_candidate
o2sat,mimic,chartevents,227867,Activity O2 Sat - Aerobic Capacity,%,OT Notes,,unmapped_candidate
o2sat,miiv,chartevents,226860,RA %O2 Saturation (PA Line),%,PA Line Insertion,,unmapped_candidate
o2sat,miiv,chartevents,226861,ART %O2 saturation (PA Line),%,PA Line Insertion,,unmapped_candidate
o2sat,miiv,chartevents,226862,PA %O2 Saturation (PA Line),%,PA Line Insertion,,unmapped_candidate
o2sat,miiv,chartevents,226863,PVR %O2 Saturation (PA Line),dynes*sec/cm5,PA Line Insertion,,unmapped_candidate
o2sat,miiv,chartevents,226865,SVR %O2 Saturation (PA Line),dynes*sec/cm5,PA Line Insertion,,unmapped_candidate
o2sat,miiv,chartevents,227861,Rest O2 Sat - Aerobic Capacity,%,OT Notes,,unmapped_candidate
o2sat,miiv,chartevents,227867,Activity O2 Sat - Aerobic Capacity,%,OT Notes,,unmapped_candidate
o2sat,miiv,chartevents,227873,Recovery O2 Sat - Aerobic Capacity,%,OT Notes,,unmapped_candidate
o2sat,miiv,chartevents,227919,Rest O2 Sat - Aerobic Activity Response,%,OT Notes,,unmapped_candidate
o2sat,miiv,chartevents,227926,Activity O2 sat - Aerobic Activity Response,%,OT Notes,,unmapped_candidate
o2sat,miiv,chartevents,227933,Recovery O2 sat - Aerobic Activity Response,%,OT Notes,,unmapped_candidate
o2sat,miiv,chartevents,228232,PAR-Oxygen saturation,,Routine Vital Signs,,unmapped_candidate
o2sat,miiv,chartevents,229862,Forehead SpO2 Sensor in Place,,Routine Vital Signs,,unmapped_candidate
o2sat,eicu,respiratorycharting,Adult Con Pt/Vent SpO2,Adult Con Pt/Vent SpO2,,,,unmapped_candidate
o2sat,eicu,nursecharting,O2 Saturation,O2 Saturation,,,,unmapped_candidate
pco2,aumc,numericitems,9991,pCO2 (overig),mmHg,,,unmapped_candidate
pco2,aumc,numericitems,16837,Streef Onderwaarde pCO2,mmHg,,,unmapped_candidate
pco2,aumc,numericitems,16838,Streef Bovenwaarde pCO2,mmHg,,,unmapped_candidate
pco2,mimic,chartevents,4201,pCO2 (cap),,Other ABGs,,unmapped_candidate
pco2,mimic,chartevents,3774,Mix Venous PCO2,,Mixed VBGs,,unmapped_candidate
pco2,mimic,chartevents,3836,pCO2 (other),,Other ABGs,,unmapped_candidate
pco2,mimic,labevents,50830,"pCO2, Body Fluid",,Blood Gas,Other Body Fluid,unmapped_candidate
pco2,miiv,labevents,50830,"pCO2, Body Fluid",,Blood Gas,Other Body Fluid,unmapped_candidate
pco2,miiv,labevents,52040,pCO2,,Blood Gas,Fluid,unmapped_candidate
peep,aumc,numericitems,8882,Intrinsic PEEP,mbar,,,unmapped_candidate
peep,aumc,numericitems,9661,Intrinsic PEEP(2),mbar,,,unmapped_candidate
peep,aumc,numericitems,12285,PC boven PEEP (Set),cmH2O,,,unmapped_candidate
peep,aumc,numericitems,12286,PS boven PEEP (Set),cmH2O,,,unmapped_candidate
peep,aumc,numericitems,12297,T peep (Set),sec,,,unmapped_candidate
peep,aumc,numericitems,12335,PC boven PEEP (Set) (2),cmH2O,,,unmapped_candidate
peep,aumc,numericitems,12338,PS boven PEEP (Set) (2),cmH2O,,,unmapped_candidate
peep,aumc,numericitems,12342,T peep (Set) (2),sec,,,unmapped_candidate
peep,mimic,chartevents,1096,Auto-PEEP level,,,,unmapped_candidate
peep,mimic,chartevents,60,Auto-PEEP Level,,,,unmapped_candidate
peep,mimic,chartevents,437,Low Peep,,,,unmapped_candidate
peep,mimic,chartevents,8053,SIGH PEEP LEVEL,,,,unmapped_candidate
peep,mimic,chartevents,8345,Sigh peep level,,,,unmapped_candidate
peep,mimic,chartevents,8357,Sigh Peep,,,,unmapped_candidate
peep,mimic,chartevents,6985,Sigh PEEP level,,,,unmapped_candidate
peep,mimic,chartevents,7534,Intrinsic peep,,,,unmapped_candidate
peep,mimic,chartevents,7802,high peep,,,,unmapped_candidate
peep,mimic,chartevents,7803,low peep,,,,unmapped_candidate
peep,mimic,chartevents,6489,auto-peep,,,,unmapped_candidate
peep,mimic,chartevents,6601,Auto PeeP,,,,unmapped_candidate
peep,mimic,chartevents,6859,Insp press mius PEEP,,,,unmapped_candidate
peep,mimic,chartevents,6889,PEEP Sigh level,,,,unmapped_candidate
peep,mimic,chartevents,6924,MEASURED PEEP,,,,unmapped_candidate
peep,mimic,chartevents,6943,LOW PEEP,,,,unmapped_candidate
peep,mimic,chartevents,224699,ZAuto Peep Level,cmH2O,Respiratory,,unmapped_candidate
peep,mimic,labevents,50819,PEEP,,Blood Gas,Blood,unmapped_candidate
peep,miiv,chartevents,224699,ZAuto Peep Level,cmH2O,Respiratory,,unmapped_candidate
peep,miiv,labevents,50819,PEEP,,Blood Gas,Blood,unmapped_candidate
peep,eicu,lab,PEEP,PEEP,cm H2O,,,unmapped_candidate
peep,eicu,respiratorycharting,PS above PEEP,PS above PEEP,,,,unmapped_candidate
ph,aumc,numericitems,11424,pH (overig),Geen,,,unmapped_candidate
ph,aumc,numericitems,11519,pH semen (semen),Geen,,,unmapped_candidate
ph,aumc,numericitems,11550,pH-gemeten (overig),Geen,,,unmapped_candidate
ph,aumc,numericitems,11551,pH (faeces),Geen,,,unmapped_candidate
ph,aumc,numericitems,18490,pH pleuravocht (pleurapunct.),Geen,,,unmapped_candidate
ph,mimic,chartevents,7966,pleural fluid pH,,,,unmapped_candidate
ph,mimic,chartevents,6003,ph level,,,,unmapped_candidate
ph,mimic,chartevents,2640,SJ PH,,,,unmapped_candidate
ph,mimic,chartevents,7459,Ph,,,,unmapped_candidate
ph,mimic,chartevents,8385,Emesis [pH],,,,unmapped_candidate
ph,mimic,chartevents,8387,GI [pH],,,,unmapped_candidate
ph,mimic,inputevents_cv,40505,ph of ogt,,,,unmapped_candidate
ph,mimic,inputevents_cv,43487,Stomach asp.PH,,Free Form Intake,,unmapped_candidate
ph,mimic,chartevents,227586,GI pH,,GI/GU,,unmapped_candidate
ph,mimic,chartevents,228243,PH (SOFT),,Labs,,unmapped_candidate
ph,mimic,chartevents,220734,PH (dipstick),,Labs,,unmapped_candidate
ph,mimic,labevents,50831,pH,,Blood Gas,Other Body Fluid,unmapped_candidate
ph,miiv,chartevents,220734,PH (dipstick),None,Labs,,unmapped_candidate
ph,miiv,chartevents,227586,GI pH,None,GI/GU,,unmapped_candidate
ph,miiv,chartevents,228243,PH (SOFT),None,Labs,,unmapped_candidate
ph,miiv,labevents,50831,pH,,Blood Gas,Other Body Fluid,unmapped_candidate
ph,miiv,labevents,52041,pH,,Blood Gas,Fluid,unmapped_candidate
pip,mimic,chartevents,507,PIP,,,,unmapped_candidate
pip,mimic,chartevents,6105,High PIP,,,,unmapped_candidate
pip,mimic,chartevents,6236,high pip,,,,unmapped_candidate
plateau_pres,miiv,chartevents,228866,Plateau Pressure (IABP),mmHg,IABP,,unmapped_candidate
plt,aumc,drugitems,7369,Thrombocyten suspensie,,,,unmapped_candidate
plt,mimic,chartevents,6256,Platelet Count,,,,unmapped_candidate
